job_title,level,job_type,salary_avg,benefits,onsite_remote,dim_JobCategory,dim_Company,dim_Location,dim_Skills
remote ai/ml engineer in wildlife conservation,mid-level,contract,27.5,"career development, health care",remote,ml,the wild neighbors database project,"remote, us","apis, classification, data management, github, keras, machine learning, ml models, +6"
ai/ml-powered trading strategy researcher (and implementer),senior-level,full time,150.0,n/a,remote,ml,white wind research,remote,"finance, machine learning, python, research, trading strategies"
principal data engineer,senior-level,full time,200.0,equity,remote,engineer,murmuration,"remote, us","agile, architecture, athena, aws, big data, ci/cd, data governance, +24"
mlops engineer,mid-level,full time,129.0,"career development, competitive pay, flex hours, flex vacation, health care, +4",remote,ml,hala systems,"remote, eu and us","architecture, ci/cd, computer science, computer vision, data pipelines, deep learning, devops, +15"
ai developer,senior-level,full time,84.0,"career development, flex hours, startup environment",onsite,data scientist,lemon.io,ukraine,"caffe, computer science, computer vision, deep learning, keras, machine learning, ml models, +7"
machine learning engineer,mid-level,full time,0.0,n/a,onsite,engineer,exponentia,"valencia, spain","aws, azure, blockchain, crypto, deep learning, docker, gcp, +13"
"applied scientist, amazon shoppable videos",senior-level,full time,179.0,"career development, conferences, equity, startup environment",onsite,data scientist,amazon.com,"seattle, washington, usa","a/b testing, big data, computer science, computer vision, data analysis, data mining, economics, +11"
business data analyst lead,n/a,full time,49.5,"career development, startup environment",onsite,analyst,accorcorpo,"issy-les-moulineaux, france","agile, architecture, ci/cd, computer science, data analysis, data visualization, engineering, +9"
senior data scientist,senior-level,full time,157.0,"career development, equity, home office stipend",onsite,data scientist,wolt,"helsinki, finland","a/b testing, airflow, aws, bayesian, computer vision, deep learning, docker, +14"
"director, machine learning, new initiatives",executive-level,full time,104.5,n/a,remote,data scientist,dropbox,remote - canada,"computer science, computer vision, deep learning, engineering, llms, machine learning, phd"
clinical data operator,entry-level,full time,62.5,"competitive pay, fertility benefits, health care, medical leave",onsite,data scientist,natera,"austin, tx","genetics, privacy, security, testing"
sr etl/ data engineer,senior-level,full time,147.5,"career development, flex hours",onsite,engineer,digitalonus,"guadalajara, monterrey, saltillo","agile, architecture, azure, data analysis, databricks, data quality, db2, +12"
senior manager - data analytics,mid-level,full time,64.5,career development,onsite,data scientist,grant thornton new zealand,"auckland cbd, auckland, new zealand","agile, consulting, data analytics"
"data engineering co-op, empress therapeutics",n/a,full time,133.5,startup environment,onsite,engineer,"flagship pioneering, inc.","cambridge, ma usa","architecture, aws, biology, ci/cd, computer science, data analysis, devops, +14"
lead data engineer (f/h),senior-level,full time,147.5,n/a,onsite,engineer,asi,"nantes, france","agile, airflow, apis, azure, big data, elt, etl, +7"
junior data operations specialist (m/f/d),entry-level,full time,56.0,"career development, fitness / gym, pet friendly, unlimited paid time off",onsite,data scientist,flink,"berlin, germany","dataops, finance, flink"
senior data engineer,senior-level,full time,147.5,"health care, startup environment, unlimited paid time off",remote,engineer,rec room,"vancouver, bc (remote)","a/b testing, airflow, data quality, data warehouse, engineering, genetics, machine learning, +6"
data engineer,senior-level,full time,147.5,startup environment,onsite,engineer,standard bank group,"johannesburg, south africa","apis, architecture, big data, data pipelines, engineering, pipelines, python"
premaster programm - data science/big data (w/m/div.),entry-level,full time,56.0,team events,onsite,data scientist,bosch group,"kusterdingen, germany","big data, data analytics, knime, machine learning, power bi, python, tableau, +1"
data quality analyst,mid-level,full time,80.5,career development,onsite,analyst,mintel,chicago,data quality
portuguese language data analyst - canada,entry-level,full time,53.0,n/a,remote,analyst,transperfect,remote job,"kpis, machine learning, react"
senior big data consultant,senior-level,full time,88.5,"401(k) matching, career development, cell phone stipend, flex vacation, health care, +2",remote,data scientist,mission,remote (anywhere us),"airflow, architecture, athena, aws, big data, consulting, data analytics, +17"
english language data analyst - canada,entry-level,full time,53.0,n/a,remote,analyst,transperfect,remote job,"machine learning, react"
machine learning research scientist,entry-level,full time,140.0,"401(k) matching, career development, conferences, flex hours, flex vacation, +4",onsite,data scientist,bosch group,"pittsburgh, pa, united states","computer science, deep learning, engineering, machine learning, mathematics, phd, postdoc, +7"
data analytics - senior consultant,senior-level,full time,88.5,"career development, fertility benefits, flat hierarchy, parental leave",onsite,data scientist,capco,uk - london,"agile, banking, data analytics, finance, machine learning, mysql, nosql, +8"
software qa engineer - machine learning qe,senior-level,full time,125.0,"401(k) matching, competitive pay, equity, flex hours, health care",onsite,engineer,servicenow,"santa clara, california, united states","agile, engineering, machine learning, testing"
senior insight analyst,senior-level,full time,88.5,startup environment,onsite,analyst,nielseniq,"belgrade, serbia","business intelligence, economics, excel, genetics, research, statistics"
lead ai designer,senior-level,full time,88.5,flex vacation,onsite,data scientist,2k,"brighton, england, united kingdom",testing
aws data scientist,senior-level,full time,157.0,n/a,onsite,data scientist,devoteam,"palau-solità i plegamans, spain","airflow, apis, aws, big data, ci/cd, databricks, docker, +12"
data visualization specialist,n/a,full time,62.5,"401(k) matching, career development, competitive pay, flex vacation, health care, +2",remote,data scientist,mmit,"yardley, pennsylvania, united states - remote","data visualization, excel, market research, research"
senior product manager (ml/ai),senior-level,full time,70.5,"career development, flex hours, startup environment",remote,ml,workato,singapore - remote,"engineering, llms, machine learning, ux"
business data analyst,mid-level,full time,49.5,"career development, equity, startup environment",onsite,analyst,maxpeoplehr,"etobicoke, toronto, canada","consulting, consulting firm, data mining, etl, excel, industrial, power bi, +3"
senior data engineer - industry team - m/f/d,senior-level,full time,147.5,"career development, health care, insurance, startup environment, team events",onsite,engineer,deezer,"paris, france","apis, architecture, big data, bigquery, cassandra, data pipelines, devops, +11"
senior bi developer,senior-level,full time,88.5,startup environment,onsite,data scientist,nielseniq,"norwich, united kingdom","agile, azure, business intelligence, ci/cd, data warehouse, devops, elasticsearch, +8"
sr staff data engineer,mid-level,full time,218.5,"career development, competitive pay, equity, flex vacation, health care, +2",onsite,engineer,cuberg,"san leandro, california, united states","architecture, aws, big data, data analysis, data pipelines, docker, engineering, +12"
