title_job,type_job,level_job,min,max,salary_average
Freelance AI Content Creator,Freelance,No disponible,20000.0,30000.0,25000.0
Freelance AI Video Producer Creator,Freelance,No disponible,20000.0,30000.0,25000.0
AI Application Developer,Freelance,No disponible,20000.0,30000.0,25000.0
Freelance AI Artist Creator,Freelance,No disponible,20000.0,30000.0,25000.0
AI Writing Creator,Freelance,No disponible,20000.0,30000.0,25000.0
Remote AI/ML Engineer in Wildlife Conservation,Contract,Mid-level,25000.0,30000.0,27500.0
AI/ML-powered Trading Strategy Researcher (and Implementer),Full Time,Senior-level,100000.0,200000.0,150000.0
Principal Data Engineer,Full Time,Senior-level,175000.0,225000.0,200000.0
MLOps Engineer,Full Time,Mid-level,124000.0,134000.0,129000.0
AI Developer,Full Time,Senior-level,60000.0,108000.0,84000.0
Machine Learning Engineer,Full Time,Mid-level,26000.0,0.0,0.0
Senior Master Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Data Engineer (Python),Full Time,Senior-level,115000.0,180000.0,147500.0
Director Data Scientist - Commercial Platforms (P2474).,Full Time,Executive-level,185000.0,258000.0,221500.0
Sustainable Farming Data Manager,Full Time,Senior-level,77000.0,134000.0,105500.0
"Principal Machine Learning Engineer, New Initiatives",Full Time,Senior-level,131000.0,201000.0,166000.0
Analytics Engineering Intern - Transforming Data and Empowering Decisions (remote or in-person),Internship,Entry-level,52000.0,0.0,0.0
Data Analyst,Full Time,No disponible,75000.0,130000.0,102500.0
"Staff Data Scientist, Revenue Acceleration - Marketing (Remote, Americas)",Full Time,Senior-level,129000.0,185000.0,157000.0
"Data Developer, Product Analytics",Full Time,No disponible,63000.0,117000.0,90000.0
DATA SCIENTIST (M/F/D),Full Time,Senior-level,129000.0,185000.0,157000.0
Data Engineer (Melbourne),Full Time,Mid-level,73000.0,120000.0,96500.0
Machine Learning Engineer,Full Time,Entry-level,30000.0,108000.0,69000.0
Senior Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Senior Machine Learning Engineer,Full Time,Senior-level,131000.0,201000.0,166000.0
"Data Analyst (Bangkok Based, Relocation Provided)",Full Time,Mid-level,62000.0,135000.0,98500.0
Junior Insight Analyst,Full Time,Entry-level,39000.0,73000.0,56000.0
"Software Engineer, Machine Learning - Kyiv",Full Time,Senior-level,56000.0,104000.0,80000.0
ETL Developer - SSIS,Full Time,Senior-level,63000.0,250000.0,156500.0
"Fraud Data Analyst, Fraud Platform Integrity",Full Time,Senior-level,92000.0,130000.0,111000.0
Open - Data Analyst (McDonal's - CRM Related),Full Time,Senior-level,92000.0,130000.0,111000.0
Machine Learning Engineer,Full Time,Senior-level,131000.0,201000.0,166000.0
Data Analyst,Full Time,Entry-level,42000.0,64000.0,53000.0
Data Specialist (Engineering & Analytics) - FinTech,Full Time,Entry-level,70000.0,148000.0,109000.0
RNA Structural Biologist / Computational Bioinformatician,Full Time,Mid-level,45000.0,85000.0,65000.0
Machine Learning Engineer,Full Time,Senior-level,131000.0,201000.0,166000.0
[VSN] Data Engineer (Python/C#/Java),Full Time,Mid-level,73000.0,120000.0,96500.0
Motion Planning Engineer - Autonomy Expansion,Full Time,Senior-level,142000.0,190000.0,166000.0
Senior Data Analyst,Full Time,Senior-level,92000.0,130000.0,111000.0
Lead Data Scientist - multiple domains,Full Time,Senior-level,129000.0,185000.0,157000.0
Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Data Scientist - Personalisation,Full Time,Senior-level,129000.0,185000.0,157000.0
Research Engineer - Core Research,Full Time,Senior-level,139000.0,189000.0,164000.0
Administrateur Big Data,Full Time,No disponible,63000.0,117000.0,90000.0
Software Engineer (Scala) - Data&AI,Full Time,Senior-level,62000.0,115000.0,88500.0
Sr. Data Scientist,Full Time,Senior-level,130000.0,145000.0,137500.0
Senior Data Engineer,Full Time,Senior-level,123000.0,203000.0,163000.0
Analyst - Data Science,Full Time,No disponible,50000.0,93000.0,71500.0
Data Scientist / Biostatistician,Full Time,Mid-level,56000.0,120000.0,88000.0
"Senior Manager, Data Engineering",Full Time,Senior-level,115000.0,180000.0,147500.0
"Staff Software Engineer, AI",Full Time,Senior-level,31000.0,58000.0,44500.0
Senior Data Scientist - Team Lead,Full Time,Senior-level,129000.0,185000.0,157000.0
Staff Data Scientist,Full Time,Senior-level,199000.0,218000.0,208500.0
Data Scientist Intern,Internship,Entry-level,0.0,0.0,0.0
Associate Data Analyst,Full Time,Mid-level,54000.0,74000.0,64000.0
Senior Engineer (Data Engineer),Full Time,Senior-level,115000.0,180000.0,147500.0
Lead Data engineer,Full Time,Mid-level,103000.0,160000.0,131500.0
Area Manager Sales South (AI),Full Time,Senior-level,55000.0,102000.0,78500.0
Senior Autonomy Engineer - Integration,Full Time,Senior-level,168000.0,225000.0,196500.0
Data Analytics Intern,Internship,Entry-level,0.0,0.0,0.0
Senior Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
"Senior Data Analyst (Bangkok Based, Relocation Provided)",Full Time,Senior-level,92000.0,130000.0,111000.0
"Senior Data Scientist, Ads Experimentation Analytics",Full Time,Senior-level,183000.0,275000.0,229000.0
"Director, Business, Technology Integration & Data Operations",Full Time,Executive-level,65000.0,121000.0,93000.0
Staff Data Scientist,Full Time,Senior-level,245000.0,262000.0,253500.0
Cloud FinOps Data Analyst - Mercari,Full Time,Mid-level,62000.0,135000.0,98500.0
Senior Data Engineer - OAO,Full Time,Senior-level,115000.0,180000.0,147500.0
Senior Data Scientist (Machine Learning),Full Time,Senior-level,185000.0,212000.0,198500.0
Senior Data Engineer,Full Time,Senior-level,221000.0,270000.0,245500.0
Staff Data Engineer (Remote),Full Time,Senior-level,115000.0,180000.0,147500.0
"Cybersecurity Engineer - Java , Big Data , HDFS, Spark, Kafka",Full Time,Senior-level,55000.0,102000.0,78500.0
Senior SMWDC Data Analytics Team Lead,Full Time,Senior-level,110000.0,125000.0,117500.0
"Applied Scientist Intern, AWS Hybrid Tools",Full Time,Entry-level,110000.0,204000.0,157000.0
Senior Machine Learning Engineer,Full Time,Senior-level,131000.0,201000.0,166000.0
Senior ML Engineer,Full Time,Senior-level,131000.0,240000.0,185500.0
Senior Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Senior Data Scientist (Experience with Media Mix Modeling),Full Time,Senior-level,129000.0,185000.0,157000.0
Data Analyst,Full Time,Senior-level,92000.0,130000.0,111000.0
ETL - BI Developer - G4574,Full Time,Senior-level,55000.0,102000.0,78500.0
Data Engineer,Full Time,Entry-level,59000.0,135000.0,97000.0
Staff Machine Learning Engineer,Full Time,Senior-level,62000.0,115000.0,88500.0
"Associate Director, Biospecimen Data Management",Full Time,Mid-level,45000.0,85000.0,65000.0
Sr Architect : Big Data / AI,Full Time,Senior-level,55000.0,102000.0,78500.0
Biospecimen Data Manager I,Full Time,Senior-level,77000.0,134000.0,105500.0
Data Engineer (H/F) - Alternance,Full Time,Entry-level,59000.0,135000.0,97000.0
Project Manager - AI/NLP - Lille,Full Time,Entry-level,39000.0,73000.0,56000.0
Data Scientist,Full Time,Senior-level,129000.0,185000.0,157000.0
"Lead Data Analyst, Product",Full Time,Senior-level,92000.0,130000.0,111000.0
Data Engineer,Full Time,Senior-level,139000.0,193000.0,166000.0
"Data Scientist,Triage",Full Time,Senior-level,129000.0,185000.0,157000.0
Financial Data Analyst,Full Time,Senior-level,55000.0,102000.0,78500.0
Data Engineering - Intern,Internship,Entry-level,0.0,0.0,0.0
"Associate Director, Biospecimen Data Management",Full Time,Mid-level,45000.0,85000.0,65000.0
Research Engineer - Motion,Full Time,Senior-level,150000.0,249000.0,199500.0
Senior Data Engineer (P3873),Full Time,Senior-level,115000.0,180000.0,147500.0
Staff Computer Vision Engineer - Caper,Full Time,Senior-level,210000.0,280000.0,245000.0
Data Analysis Lead  Conversion/Migration,Full Time,Senior-level,106000.0,0.0,0.0
AWS Data Engineer,Full Time,Mid-level,40000.0,75000.0,57500.0
Senior Data Scientist,Full Time,Senior-level,201000.0,237000.0,219000.0
Data Analyst,Full Time,Entry-level,42000.0,64000.0,53000.0
"Senior Software Engineering Manager, Data Infrastructure",Full Time,Senior-level,69000.0,128000.0,98500.0
Lead Data Analyst,Full Time,No disponible,63000.0,117000.0,90000.0
Area Manager Sales West (AI),Full Time,Senior-level,55000.0,102000.0,78500.0
Senior Data Engineer,Full Time,Senior-level,81000.0,115000.0,98000.0
Senior Data Engineer in Finance Analytics,Full Time,Senior-level,115000.0,180000.0,147500.0
Research Scientist - NLP,Full Time,Senior-level,89000.0,210000.0,149500.0
Senior Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Area Manager Sales North (AI),Full Time,Senior-level,55000.0,102000.0,78500.0
"Principal Applied Scientist, Personalization",Full Time,Senior-level,159000.0,309000.0,234000.0
Principal Data Engineer,Full Time,Executive-level,65000.0,121000.0,93000.0
Business Intelligence Engineer (Looker),Full Time,Senior-level,62000.0,115000.0,88500.0
Data Engineering Architect,Full Time,Senior-level,201000.0,237000.0,219000.0
Senior Data Engineer,Full Time,Senior-level,176000.0,238000.0,207000.0
ML Engineer,Full Time,No disponible,74000.0,0.0,0.0
Senior Data Scientist I,Full Time,Senior-level,110000.0,172000.0,141000.0
Associate Director/Director of Research Informatics & Data Engineering,Full Time,Mid-level,73000.0,120000.0,96500.0
Data Scientist,Full Time,Entry-level,39000.0,100000.0,69500.0
"Staff Software Engineer, Data Platforms",Full Time,Senior-level,62000.0,115000.0,88500.0
Data Analyst,Full Time,Senior-level,92000.0,130000.0,111000.0
Senior Data Engineer,Full Time,Senior-level,166000.0,231000.0,198500.0
Data Analyst,Full Time,Senior-level,92000.0,130000.0,111000.0
"Staff Machine Learning Software Engineer, New Initiatives",Full Time,Senior-level,183000.0,248000.0,215500.0
Research Engineer- Flood,Full Time,Entry-level,150000.0,249000.0,199500.0
Customer Onboarding Data Engineer - Security Logs (US Remote),Full Time,Senior-level,115000.0,180000.0,147500.0
SDE III Machine Learning,Full Time,Senior-level,55000.0,102000.0,78500.0
Data Analyst Intern,Internship,Entry-level,80000.0,0.0,0.0
Senior Big Data Engineer,Full Time,Senior-level,30000.0,60000.0,45000.0
Data Analyst,Full Time,No disponible,92000.0,113000.0,102500.0
Data Science and Machine Learning Intern,Internship,Entry-level,0.0,0.0,0.0
Staff Machine Learning Engineer,Full Time,Senior-level,55000.0,102000.0,78500.0
"Senior BI Analyst (Bangkok-based, Relocation provided)",Full Time,Senior-level,48000.0,78000.0,63000.0
"Software Engineer, Growth Data Engineering",Full Time,Senior-level,115000.0,180000.0,147500.0
Data Scientist  III,Full Time,Senior-level,129000.0,185000.0,157000.0
"Senior Manager, HR Data Analytics (SSC)",Full Time,Senior-level,55000.0,102000.0,78500.0
Business Intelligence Engineer,Full Time,Senior-level,62000.0,115000.0,88500.0
Data Quality Analyst,Full Time,Senior-level,49000.0,92000.0,70500.0
Entry Level Data Scientist,Full Time,Entry-level,44000.0,81000.0,62500.0
(Senior) Digital Analytics Engineer,Full Time,Senior-level,110000.0,184000.0,147000.0
Data Engineer II,Full Time,Senior-level,115000.0,180000.0,147500.0
Data Visualization and Cloud Engineering Manager,Full Time,Executive-level,65000.0,121000.0,93000.0
Research Engineer- Atmospheric Perils Vulnerability,Full Time,Entry-level,150000.0,249000.0,199500.0
Data Science/Engineering Instructor,Full Time,Senior-level,69000.0,128000.0,98500.0
Senior Data Analyst,Full Time,Senior-level,92000.0,130000.0,111000.0
Analytics Engineer,Full Time,Senior-level,110000.0,184000.0,147000.0
"Machine Learning DevOps Engineer for Rail Projects, Engineering Center, Cluj",Full Time,Senior-level,62000.0,115000.0,88500.0
Sr Applied Data Scientist,Full Time,Senior-level,50000.0,177000.0,113500.0
Staff Engineer/ Sr. Staff Engineer (Java |Kafka | Cassandra | ElasticSearch | AWS | Distributed Systems),Full Time,Senior-level,49000.0,92000.0,70500.0
Junior Data Engineer (Remote),Full Time,Entry-level,59000.0,135000.0,97000.0
BAM Data Engineer SEG,Full Time,Entry-level,59000.0,135000.0,97000.0
"Manager, Data Engineering",Full Time,Senior-level,140000.0,185000.0,162500.0
Lead Data Scientist,Full Time,Senior-level,40000.0,172000.0,106000.0
Databricks and Scala Engineer geospatial,Full Time,Senior-level,62000.0,115000.0,88500.0
Business Intelligence Engineer - Technology Finance,Full Time,Senior-level,62000.0,115000.0,88500.0
Staff Data Engineering (multiple openings),Full Time,Senior-level,115000.0,180000.0,147500.0
Senior Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Data Scientist,Full Time,Mid-level,45000.0,0.0,0.0
Machine Learning Engineer,Full Time,Mid-level,80000.0,129000.0,104500.0
IND Analyst/Data Scientist -Data Management,Full Time,Senior-level,129000.0,185000.0,157000.0
Data Analyst (H/F),Full Time,Senior-level,60000.0,0.0,0.0
Senior Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
"DataOps Engineer, Streaming, Madrid",Full Time,Senior-level,62000.0,115000.0,88500.0
Data Analyst (Campaigns & Consumer Engagement),Full Time,Senior-level,92000.0,130000.0,111000.0
"Manager, Data Engineering - NBC Sports Next",Full Time,Executive-level,200000.0,297000.0,248500.0
Marketing Data Analyst Intern,Internship,Entry-level,0.0,0.0,0.0
Junior Data Engineer,Full Time,Entry-level,59000.0,135000.0,97000.0
Specialist Solutions Architect - Data Engineering (Financial Services),Full Time,Senior-level,115000.0,180000.0,147500.0
Data Engineer (f/m/div.),Full Time,Senior-level,115000.0,180000.0,147500.0
Data Analyst,Full Time,Mid-level,62000.0,135000.0,98500.0
"Senior Internal Auditor, Data Analytics",Full Time,Entry-level,44000.0,81000.0,62500.0
Manager Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Data Scientist / Machine Learning Engineer (f/m/div.),Full Time,Senior-level,129000.0,185000.0,157000.0
Data Analyst - Student Placement,Full Time,Entry-level,42000.0,64000.0,53000.0
BI Analyst Business Partner,Full Time,Entry-level,75000.0,0.0,0.0
Data Analyst (f/m/div.),Full Time,Senior-level,92000.0,130000.0,111000.0
Data Engineer - Managed service,Full Time,Senior-level,115000.0,180000.0,147500.0
Data Scientist - Portfolio Management,Full Time,No disponible,90000.0,172000.0,131000.0
ETL Developer - Remote,Full Time,Entry-level,63000.0,250000.0,156500.0
Data Analyst (12 Month FTC - Mat Cover) | Catalogue,Full Time,No disponible,75000.0,130000.0,102500.0
Big Data Architect,Full Time,Senior-level,210000.0,0.0,0.0
Project Manager - AI/NLP - Paris 2e,Full Time,Entry-level,39000.0,73000.0,56000.0
(Junior) Dispatch Manager / Data Analyst,Full Time,Entry-level,42000.0,64000.0,53000.0
NLP-Natural Language Processing Engineers (language : Scandinavian) (H/F),Full Time,Entry-level,39000.0,73000.0,56000.0
ALTERNANCE - Data Analyst Réferentiel Produits H/F,Full Time,Entry-level,42000.0,64000.0,53000.0
"Research Engineer, Applied, Mountain View",Full Time,Senior-level,133000.0,203000.0,168000.0
Senior Data Engineer,Full Time,Senior-level,133000.0,247000.0,190000.0
Artificial Intelligence (AI) Enterprise Data Engineering Functional Specialist (FS)/Subject Matter Expert (SME),Full Time,Senior-level,115000.0,180000.0,147500.0
Data Analyst,Full Time,Senior-level,92000.0,130000.0,111000.0
BI Analyst (f/m/d),Full Time,Entry-level,48000.0,78000.0,63000.0
Machine Learning Engineer,Full Time,Mid-level,80000.0,129000.0,104500.0
Senior Data Scientist,Full Time,Senior-level,129000.0,185000.0,157000.0
Staff Machine Learning Engineer,Full Time,Senior-level,62000.0,115000.0,88500.0
"Senior Software Engineer, Machine Learning",Full Time,Senior-level,69000.0,128000.0,98500.0
Staff Software Engineer - Applied Machine Learning,Full Time,Senior-level,62000.0,115000.0,88500.0
Research Engineer - Credit Insight,Full Time,No disponible,150000.0,249000.0,199500.0
Sr. Data Analyst,Full Time,Senior-level,92000.0,130000.0,111000.0
Mid/Senior Data Analyst (Pricing),Full Time,Senior-level,92000.0,130000.0,111000.0
Senior Software Engineer - Algorithm and Machine Learning (Abnormal Detection),Full Time,Senior-level,55000.0,102000.0,78500.0
Retail Analytics Data Engineer,Full Time,Mid-level,73000.0,120000.0,96500.0
"DataOps Engineer, ELK stack, Madrid",Full Time,No disponible,56000.0,105000.0,80500.0
Junior Data Scientist,Full Time,Entry-level,39000.0,100000.0,69500.0
Data Engineer (Data Science Hub),Full Time,No disponible,95000.0,172000.0,133500.0
Data Scientist,Full Time,Mid-level,56000.0,120000.0,88000.0
Data Engineer (remoto en España),Full Time,Mid-level,73000.0,120000.0,96500.0
Data Analyst,Full Time,Mid-level,62000.0,135000.0,98500.0
Senior Big Data Engineer - Data & AI,Full Time,Senior-level,30000.0,60000.0,45000.0
Client Services Data Analyst,Full Time,Entry-level,42000.0,64000.0,53000.0
Senior Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Machine Learning Operations Engineer,Full Time,No disponible,56000.0,105000.0,80500.0
Data Scientist,Full Time,Mid-level,56000.0,120000.0,88000.0
Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
"Machine Learning Engineer - NLP (Remote, India)",Full Time,Senior-level,131000.0,201000.0,166000.0
Senior Analytics Engineer,Full Time,Senior-level,116000.0,152000.0,134000.0
AI Product Owner - Manufacturing (f/m/div.),Full Time,Entry-level,39000.0,73000.0,56000.0
Data Engineer,Full Time,Mid-level,73000.0,120000.0,96500.0
Senior Business Intelligence Engineer,Full Time,Senior-level,129000.0,185000.0,157000.0
Data Analyst,Full Time,Mid-level,62000.0,135000.0,98500.0
Consultant Senior Data Visualisation - H/F,Full Time,Senior-level,62000.0,115000.0,88500.0
Computational Biologist - Product Development / Single Cell,Full Time,No disponible,154000.0,189000.0,171500.0
Manager Data Engineering,Full Time,Senior-level,210000.0,0.0,0.0
Engineer (Data Engineer),Full Time,Senior-level,115000.0,180000.0,147500.0
Cloud Data Engineer,Full Time,Senior-level,94000.0,179000.0,136500.0
Senior Data Engineer,Full Time,Senior-level,132000.0,165000.0,148500.0
"DataOps Engineer, Observability Platforms, Madrid",Full Time,Senior-level,62000.0,115000.0,88500.0
Senior Data Engineer - Data Platform / AWS / Archi Distribuée (f/m/x),Full Time,Senior-level,115000.0,180000.0,147500.0
Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Senior Data Analyst,Full Time,Senior-level,65000.0,145000.0,105000.0
Senior Product Manager (Machine Learning),Full Time,Senior-level,62000.0,115000.0,88500.0
Data Engineer Specialist,Full Time,Entry-level,59000.0,135000.0,97000.0
Data Engineer Intern,Internship,Entry-level,0.0,0.0,0.0
EVERGREEN Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Data Analyst / Data Scientist eBike Systems (w/m/div.),Full Time,Senior-level,92000.0,130000.0,111000.0
Senior Game Data Analyst,Full Time,Senior-level,104000.0,202000.0,153000.0
People Data Analyst,Full Time,Entry-level,39000.0,73000.0,56000.0
"Staff Engineer I, Data Engineering",Full Time,Senior-level,185000.0,217000.0,201000.0
Machine Learning Engineer - Applied AI,Full Time,Entry-level,145000.0,163000.0,154000.0
Data Scientist,Full Time,Entry-level,39000.0,100000.0,69500.0
Senior Data Scientist,Full Time,Senior-level,70000.0,105000.0,87500.0
Data Engineer,Full Time,No disponible,95000.0,172000.0,133500.0
Data Scientist,Full Time,Senior-level,129000.0,185000.0,157000.0
Data Scientist,Full Time,Senior-level,129000.0,185000.0,157000.0
Customer Data Operations Analyst,Full Time,No disponible,56000.0,105000.0,80500.0
Data Scientist II - Machine Learning,Full Time,Senior-level,129000.0,185000.0,157000.0
Graduate Data Scientist,Full Time,Entry-level,39000.0,100000.0,69500.0
Data Engineer (m/w/div.),Full Time,Senior-level,115000.0,180000.0,147500.0
Decision Scientist,Full Time,Senior-level,129000.0,185000.0,157000.0
"Engineering Manager, Decision Science",Full Time,Senior-level,190000.0,224000.0,207000.0
AI Developer,Full Time,Entry-level,35000.0,65000.0,50000.0
Data Quality Engineer (m/w/d),Full Time,Senior-level,62000.0,115000.0,88500.0
"Data Engineer (Remote, Croatia)",Full Time,Senior-level,115000.0,180000.0,147500.0
Cloud Database Engineer (m/f/d),Full Time,Senior-level,62000.0,115000.0,88500.0
Data Engineer II/III (Hyperion EPM),Full Time,Senior-level,115000.0,180000.0,147500.0
BAM Data analyst SAS H/F SEG,Full Time,Entry-level,42000.0,64000.0,53000.0
Data Engineer,Full Time,No disponible,70000.0,100000.0,85000.0
Analytics Engineer,Full Time,Senior-level,143000.0,230000.0,186500.0
Senior Data Scientist,Full Time,Senior-level,160000.0,195000.0,177500.0
"Staff Data Engineer, Global Commercial Payments Platform",Full Time,Senior-level,115000.0,180000.0,147500.0
Human Resources Data Analyst,Full Time,Mid-level,62000.0,135000.0,98500.0
Research Analyst,Full Time,Mid-level,45000.0,84000.0,64500.0
Operations Center Data Analyst (Night Shift - Hybrid),Full Time,Entry-level,42000.0,64000.0,53000.0
Data Scientist,Full Time,Entry-level,90000.0,0.0,0.0
"Amazon Robotics - Business Intelligence Engineer Co-op - Fall 2023 Co-op, Robotic Storage Technology Analytics",Full Time,Entry-level,44000.0,81000.0,62500.0
Data Scientist Senior,Full Time,Senior-level,36000.0,45000.0,40500.0
Senior AI Engineer,Full Time,Senior-level,55000.0,102000.0,78500.0
Data Engineer,Full Time,Senior-level,115000.0,180000.0,147500.0
Financial Market Data Analyst Associate,Full Time,Mid-level,62000.0,135000.0,98500.0
Senior Game AI Programmer,Full Time,Mid-level,40000.0,75000.0,57500.0
Data Engineer,Full Time,Senior-level,75000.0,95000.0,85000.0
Data Scientist,Full Time,Mid-level,56000.0,120000.0,88000.0
Data Visualization & Content Engineer,Full Time,Senior-level,55000.0,102000.0,78500.0
Data Scientist,Full Time,Mid-level,56000.0,120000.0,88000.0
Machine Learning Engineer (Intern),Internship,Entry-level,0.0,0.0,0.0
Business Data Analyst Lead H/F,Full Time,Senior-level,30000.0,69000.0,49500.0
Machine Learning Engineer,Full Time,Senior-level,131000.0,201000.0,166000.0
"Senior Data Engineer, KMS Healthcare",Full Time,Senior-level,115000.0,180000.0,147500.0
Senior Machine Learning Engineer,Full Time,Senior-level,131000.0,201000.0,166000.0
"Senior Analyst, Data Operations",Full Time,Senior-level,84000.0,105000.0,94500.0
Senior ETL Developer,Full Time,Senior-level,63000.0,250000.0,156500.0
Junior Data Scientist,Full Time,Entry-level,35000.0,0.0,0.0
Robotics Research Engineer - Novel Robotics Systems,Full Time,Entry-level,150000.0,249000.0,199500.0
Senior NLP Research Engineer,Full Time,Senior-level,150000.0,249000.0,199500.0
Senior Software Engineer  Machine Learning Backend,Full Time,Senior-level,62000.0,115000.0,88500.0
"Staff Machine Learning Engineer, Ads Marketplace Quality",Full Time,Senior-level,212000.0,318000.0,265000.0
