skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7
AI content,Anyword,Marketmuse,Research,Wordtune,N/A,N/A
AI video,Pictory,Research,N/A,N/A,N/A,N/A
Chatbots,ChatGPT,GPT,Research,N/A,N/A,N/A
AI art,DALL-E,Midjourney,Research,Stable Diffusion,N/A,N/A
Copywriting,Prompt engineering,Research,UX,N/A,N/A,N/A
APIs,Classification,Data management,GitHub,Keras,Machine Learning,ML models
Finance,Machine Learning,Python,Research,Trading Strategies,N/A,N/A
Agile,Architecture,Athena,AWS,Big Data,CI/CD,Data governance
Architecture,CI/CD,Computer Science,Computer Vision,Data pipelines,Deep Learning,DevOps
Caffe,Computer Science,Computer Vision,Deep Learning,Keras,Machine Learning,ML models
AWS,Azure,Blockchain,Crypto,Deep Learning,Docker,GCP
APIs,CX,Data management,Data quality,Machine Learning,Microservices,N/A
APIs,Azure,Big Data,Computer Science,Data analysis,Databricks,Data visualization
Azure,Computer Science,Economics,Finance,Machine Learning,Mathematics,NLP
Data analysis,Data management,Data strategy,KPIs,R,R&D,Security
Architecture,Caffe,Computer Science,Computer Vision,Deep Learning,Engineering,LLMs
AWS,Business Analytics,Computer Science,Data analysis,Data Analytics,DataOps,Engineering
CX,Excel,Mathematics,Oracle,Power BI,Privacy,Python
A/B testing,Consulting,Data pipelines,Engineering,ETL,KPIs,Machine Learning
AWS,Azure,Big Data,Business Intelligence,Computer Science,Data quality,Data visualization
AWS,Azure,Big Data,Data Mining,Machine Learning,Oracle,Python
Agile,Ansible,Architecture,Avro,AWS,Bitbucket,CI/CD
Computer Science,Deep Learning,Engineering,Machine Learning,Mathematics,Physics,Python
Agile,Airflow,AWS,Azure,Data pipelines,Data quality,Data warehouse
Agile,AWS,Azure,Classification,Computer Science,Computer Vision,Deep Learning
A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis,Data Analytics
Business Intelligence,Economics,Excel,Genetics,Power BI,N/A,N/A
Computer Science,Data analysis,Keras,Machine Learning,ML models,MXNet,Pipelines
Azure,Business Intelligence,Data analysis,ETL,Excel,Genetics,Python
A/B testing,Banking,Data analysis,Economics,Engineering,Finance,FinTech
A/B testing,Data analysis,Data Analytics,Excel,Machine Learning,Power BI,Python
Agile,AWS,Azure,Classification,Computer Science,Computer Vision,Deep Learning
DataOps,Data quality,Excel,Jira,SQL,N/A,N/A
Computer Science,Data analysis,Data Mining,Data quality,Engineering,ETL,Excel
AWS,Biology,Data analysis,Drug discovery,Engineering,GCP,Perl
Agile,Computer Science,Data Analytics,Deep Learning,Engineering,Machine Learning,Model deployment
Cassandra,Data pipelines,Data quality,Engineering,ETL,Kafka,MongoDB
Computer Science,Data analysis,Engineering,Industrial,Linux,Python,Robotics
Business Intelligence,Computer Science,Data analysis,Data visualization,Engineering,Finance,Mathematics
Helm,Machine Learning,Prototyping,Statistics,N/A,N/A,N/A
Agile,AWS,Azure,Data pipelines,Data quality,Data warehouse,Data Warehousing
Big Data,CX,Deep Learning,E-commerce,Engineering,Git,Machine Learning
APIs,Computer Science,Distributed Systems,Engineering,Genetics,Open Source,Prototyping
Agile,Ansible,Big Data,Blockchain,Consulting,Finance,Hadoop
Airflow,Big Data,BigQuery,Dataflow,Data governance,Dataproc,Data quality
Airflow,Big Data,Computer Science,Data management,Data pipelines,Data quality,Docker
Architecture,AWS,Big Data,Classification,Data visualization,Data Warehousing,Engineering
Architecture,Blockchain,Computer Science,Docker,Kubernetes,Linux,Open Source
Biology,Data analysis,Drug discovery,PhD,Pipelines,Python,R
Agile,Airflow,Architecture,AWS,Azure,Data governance,Data pipelines
CX,Engineering,Finance,Machine Learning,Research,N/A,N/A
Azure,Classification,Computer Science,Databricks,Deep Learning,EDA,Engineering
Architecture,Computer Science,Credit risk,Data analysis,Data pipelines,Engineering,Finance
Agile,Architecture,AWS,Azure,Classification,Computer Science,Deep Learning
Computer Science,Data analysis,Looker,Research,SQL,T-SQL,N/A
Agile,APIs,Architecture,Azure,Bitbucket,Business Intelligence,CI/CD
Azure,Consulting,Databricks,Data pipelines,Data Warehousing,DevOps,Engineering
Engineering,Industrial,Research,Security,N/A,N/A,N/A
Architecture,Autonomous Driving,Engineering,Python,Robotics,Testing,N/A
Computer Science,Data analysis,Data Analytics,Data management,Data visualization,Engineering,Excel
Airflow,Athena,AWS,Big Data,Computer Science,CX,Engineering
A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis,Data Analytics
Bayesian,Causal inference,Computer Science,Economics,Finance,Mathematics,PhD
Agile,APIs,Architecture,Computer Science,Consulting,Data Analytics,Data governance
Computer Science,Data analysis,Economics,Engineering,Finance,Machine Learning,Mathematics
AWS,Data analysis,Data visualization,Engineering,Finance,GCP,Looker
A/B testing,Agile,Big Data,Clustering,Computer Science,Data analysis,Data governance
Clustering,Computer Science,Data analysis,Deep Learning,Engineering,Finance,FinTech
CX,Data Analytics,Data visualization,Engineering,Looker,Power BI,Python
Architecture,Athena,AWS,Data pipelines,Data quality,Elasticsearch,Engineering
Agile,Angular,APIs,AWS,Azure,Big Data,Data Analytics
Data Analytics,Excel,Security,N/A,N/A,N/A,N/A
AWS,Computer Science,Computer Vision,Deep Learning,Engineering,Machine Learning,Matlab
API Development,APIs,Architecture,AWS,CI/CD,Clustering,Computer Science
A/B testing,Airflow,AWS,Azure,Big Data,BigQuery,CI/CD
Architecture,Azure,Data analysis,Databricks,Data management,Data pipelines,Data quality
Causal inference,Computer Science,Consulting,Data management,Data visualization,Economics,Engineering
Agile,Data analysis,Data visualization,Finance,Power BI,SQL,Statistics
Azure,Blockchain,Computer Science,Databricks,ETL,Excel,Mathematics
AWS,Banking,Data analysis,Economics,ETL,Mathematics,Physics
Airflow,BERT,Computer Science,CUDA,cuDNN,Data pipelines,Docker
Biology,Data management,Privacy,Research,N/A,N/A,N/A
Architecture,Big Data,Consulting,Databricks,Data Warehousing,Engineering,Excel
Data management,Linux,Privacy,R,Research,N/A,N/A
Architecture,Git,GitHub,JavaScript,Metabase,MySQL,PostgreSQL
Machine Learning,NLP,N/A,N/A,N/A,N/A,N/A
Big Data,BigQuery,Business Intelligence,Data Analytics,Data Mining,Data Warehousing,Engineering
